#,Sub-Module,Question,What BRD Says (Partial/No Info),What We Need to Confirm,Concrete Example / Scenario,Status,
ZONES,,,,,,,
1,ZONES,What is the complete list of entity types that can be included in a Zone definition?,"BRD says Zones can include: Locations, Pools (collection of Areas), and Areas. No mention of Sub-Groups, Resources, or Resource Types.","Confirm final list: Locations, Pools, Areas only — or can Sub-Groups also be scoped within a Zone? Can individual Resources be added?",Admin creates Zone 'Downtown'. Can they add Location A + just Area B2 (not all of Location A)? Can they add Sub-Group 3 of Area B2?,⚠️ Partial,Sub-Groups are under the threshold as there are not really any settings there and they are controlled by the Area.
2,ZONES,What does 'Scope is never explicit and is always inherited' mean in practice?,BRD states: 'Scope is never explicit and is always inherited. Any Areas within a Location are automatically included when a Location is selected.',"Confirm: If a Zone includes Location X, are ALL Areas, Sub-Groups, Pools, and Resources inside Location X automatically in scope — even ones added in the future?",Zone 'North Sites' has Location X. A new Area is added to Location X next month. Is it automatically in scope for that Zone without any admin action?,⚠️ Partial,"That is correct.  The lowest level box checked inherits everything below it.  As soon as an Area is selected under a Location, all other Areas at that location are excluded until selected."
3,ZONES,"How does a Zone interact with non-geographic admin portal sections (Resource Types, System settings, etc.)?","BRD says: 'For areas of the admin portal that are not geographically specific, the User Tier assigned to a user account will control what permissions they have.'","Confirm: Does Zone only restrict geographic scope (Locations/Areas), while User Tier controls access to system-wide settings like Resource Types, Licensing, System Preferences?",Staff member has Zone = 'Branch A Only' and Tier = 'Location Manager'. Can they edit global Resource Types? Can they view Licensing info?,⚠️ Partial,"They would only be allowed to do this if the User Tier permissions indicate so (i.e., view License, modify Global XYZ)"
4,ZONES,"Can a user account have multiple Zones assigned, or only one?",BRD says standard Users inherit Zone from User Group. Users with elevated permissions 'may inherit or have a specific Zone applied at the User level.' No mention of multiple Zones.,"Confirm: Is it one Zone per user account at any time? If an admin needs access to 2 branches, do they get a Zone that contains both, or two separate Zone assignments?","Branch Manager needs access to both Branch A and Branch B. Is one Zone created with both locations, or do they get two Zones assigned?",⚠️ Partial,Elevated Users should be able to alloted to multiple Zones.  Great question.
5,ZONES,"What is the pre-defined 'Everywhere' Zone — can it be edited, deleted, or unassigned?","BRD mentions a pre-defined Zone called 'Everywhere — includes everything, always, and cannot be edited.'",Confirm: Is 'Everywhere' auto-assigned to Master Administrator only? Can Organization Admins also use it? Is it shown in the Zone list or hidden as a system-only object?,"If a new admin is created, do they default to 'Everywhere' or to no Zone (which would lock them out of everything)?",⚠️ Partial,It cannot be deleted nor edited.  The system should prevent admin's from locking themselves out.  A new System Administrator would default to the Everywhere zone which logically should not be removable.  A new User Tier can be created if they want less than Everywhere for a different type of admin.
6,ZONES,"How are Zone permissions enforced when a staff user tries to modify a message, reservation, or resource outside their Zone?",BRD notes: 'Zone permissions are evaluated when editing/deleting a message by comparing the Location/Area/etc. of the message against the Zone assigned to the User Account.',"Confirm: Does the system silently hide out-of-zone items from the user's view, or does it show them but block action with an error? Which approach for each entity type?","Staff user (Zone = Branch A) views reservation list. Does Branch B's reservation appear greyed-out, or is it completely hidden from their list?",⚠️ Partial,"This can be discussed, but off the top I would think that hiding sections completely lacking any permissions and greying out specific subsections elsewhere would be logical.

For example Constructs and its subsection may be completely MIA along with Report Schedules while still showing Reports and Transactions.  At a more granular level specific action items would simply be greyed out/unclickable."
7,ZONES,What permissions are controlled by User Tier vs. controlled by Zone — what is the complete division?,BRD says permissions = what you can do (User Tier) + where you can do it (Zone). No exhaustive list of which permissions fall under each.,"Need a matrix or at minimum a list of all admin actions and whether they are: (A) Tier-only, (B) Zone-scoped, or (C) both Tier + Zone required.",Can a 'Location Manager' tier user VIEW resource types globally but only EDIT resource types within their Zone? Or is view also Zone-scoped?,⚠️ Partial,Viewing vs. editing is a User Tier level setting.  Agreed that a matrix is needed and I believe was mentioned in the spreadsheet.
8,ZONES,"How does Zone interact with Pools — if a Zone includes Pool X, does it include all Areas in that Pool?",BRD says Zone definitions can include Pools (collection of Areas). No detail on what happens if a Pool membership changes after Zone assignment.,"Confirm: If Pool X has Areas A1, A2, A3, and Zone includes Pool X — then A4 is added to Pool X — is A4 automatically in scope for the Zone?",Zone 'West Pool' includes Pool W. Admin adds Area W4 to Pool W next week. Does Zone 'West Pool' automatically cover W4 without re-editing the Zone?,⚠️ Partial,Yes.  Zones should not require editing if a sub-member is modified.
9,ZONES,"What happens to Zone assignments when a Location, Area, or Pool is decommissioned or removed?","BRD does not address what happens to Zone definitions when underlying entities (Locations, Areas, Pools) are decommissioned or deleted.",Confirm: Is the decommissioned entity automatically removed from Zone definitions? Does the Zone become invalid? Does an admin receive an alert?,"Branch C is decommissioned. Zone 'Central' had Branch C in it. Does Zone 'Central' auto-update to remove Branch C, or does it need manual cleanup?",❌ No Info,"It should auto-remove if removed, but should remain if simply decommissioned. "
10,ZONES,Can a Zone be assigned to a User Group (not just individual user accounts)?,BRD says 'standard Users always inherit their Zone from the User Group.' This implies User Groups have Zones — but the Zone management UI for User Groups is not described.,"Confirm: Is Zone assignment part of User Group configuration? Can one User Group have multiple Zones, or just one? What if no Zone is set on a User Group?",Public user group — should these users be allowed to use kiosks at any branch. Is Zone = 'Everywhere' set on the Public group by default?,⚠️ Partial,User Groups are assigned a single Zone.  The default should be Everywhere.
